probing 92 layers of 92

layer    n  median_corr   min_corr  median_relerr  ctrl_corr
    1  179     0.999973   0.999966       0.007292   0.013243
    2  179     0.999973   0.999967       0.007298   0.013945
    3  179     0.999974   0.999967       0.007228   0.040803
    4  179     0.999975   0.999969       0.007060   0.044971
    5  179     0.999975   0.999969       0.007010   0.044414
    6  179     0.999975   0.999969       0.007072   0.049464
    7  179     0.999976   0.999969       0.006942   0.046625
    8  179     0.999976   0.999970       0.006948   0.038615
    9  179     0.999976   0.999971       0.006934   0.043546
   10  179     0.999976   0.999971       0.006894   0.037965
   11  179     0.999976   0.999964       0.007000   0.026036
   12  179     0.999975   0.999970       0.007099   0.010728
   13  179     0.999973   0.999961       0.007361   0.059754
   14  179     0.999974   0.999963       0.007218   0.049128
   15  179     0.999974   0.999962       0.007169   0.040459
   16  179     0.999974   0.999964       0.007169   0.033379
   17  179     0.999974   0.999968       0.007184   0.042817
   18  179     0.999975   0.999970       0.007020   0.038955
   19  179     0.999975   0.999970       0.007035   0.029557
   20  179     0.999975   0.999968       0.007061   0.030697
   21  179     0.999974   0.999968       0.007261   0.041137
   22  179     0.999975   0.999968       0.007079   0.030092
   23  179     0.999976   0.999970       0.006983   0.032354
   24  179     0.999975   0.999971       0.007070   0.097730
   25  179     0.999974   0.999959       0.007174   0.097684
   26  179     0.999974   0.999954       0.007163   0.075909
   27  179     0.999974   0.999953       0.007246   0.069908
   28  179     0.999975   0.999968       0.007009   0.116998
   29  179     0.999975   0.999969       0.007032   0.086297
   30  179     0.999976   0.999968       0.006925   0.094370
   31  179     0.999975   0.999970       0.007044   0.062306
   32  179     0.999975   0.999971       0.007042   0.086593
   33  179     0.999975   0.999969       0.007097   0.085887
   34  179     0.999974   0.999967       0.007203   0.066385
   35  179     0.999974   0.999968       0.007260   0.029453
   36  179     0.999975   0.999968       0.007136   0.150274
   37  179     0.999975   0.999969       0.007038   0.126021
   38  179     0.999975   0.999970       0.007115   0.090774
   39  179     0.999974   0.999966       0.007254   0.061298
   40  179     0.999975   0.999963       0.007126   0.064781
   41  179     0.999976   0.999968       0.006997   0.041260
   42  179     0.999975   0.999969       0.007108   0.054946
   43  179     0.999975   0.999968       0.007119   0.054578
   44  179     0.999976   0.999969       0.006993   0.044956
   45  179     0.999975   0.999969       0.007143   0.036898
   46  179     0.999974   0.999969       0.007146   0.023190
   47  179     0.999974   0.999970       0.007242   0.021021
   48  179     0.999974   0.999965       0.007189   0.057040
   49  179     0.999975   0.999970       0.007128   0.015765
   50  179     0.999974   0.999969       0.007155   0.084069
   51  179     0.999975   0.999967       0.007078   0.056626
   52  179     0.999975   0.999970       0.007133   0.017519
   53  179     0.999976   0.999971       0.006912   0.014264
   54  179     0.999976   0.999969       0.006957   0.013255
   55  179     0.999975   0.999968       0.007039   0.021734
   56  179     0.999976   0.999967       0.006960   0.012433
   57  179     0.999976   0.999969       0.006994   0.012219
   58  179     0.999976   0.999969       0.006985   0.010790
   59  179     0.999976   0.999969       0.006988   0.018669
   60  179     0.999974   0.999969       0.007283   0.012785
   61  179     0.999974   0.999971       0.007204   0.016546
   62  179     0.999974   0.999971       0.007193   0.012671
   63  179     0.999974   0.999970       0.007165   0.013518
   64  179     0.999974   0.999969       0.007183   0.020065
   65  179     0.999974   0.999971       0.007151   0.028850
   66  179     0.999974   0.999970       0.007172   0.028563
   67  179     0.999975   0.999969       0.007131   0.028385
   68  179     0.999975   0.999971       0.007021   0.025642
   69  179     0.999974   0.999970       0.007152   0.042582
   70  179     0.999975   0.999969       0.007128   0.037393
   71  179     0.999974   0.999971       0.007159   0.047409
   72  179     0.999975   0.999970       0.007084   0.009254
   73  179     0.999975   0.999971       0.007112   0.014812
   74  179     0.999975   0.999970       0.007109   0.016455
   75  179     0.999975   0.999970       0.007099   0.023731
   76  179     0.999974   0.999970       0.007189   0.017065
   77  179     0.999975   0.999970       0.007122   0.018247
   78  179     0.999974   0.999970       0.007147   0.020112
   79  179     0.999975   0.999970       0.007139   0.020665
   80  179     0.999975   0.999969       0.007083   0.016242
   81  179     0.999976   0.999969       0.006960   0.027209
   82  179     0.999976   0.999971       0.006944   0.019347
   83  179     0.999975   0.999969       0.007085   0.020933
   84  179     0.999975   0.999971       0.007021   0.012403
   85  179     0.999975   0.999970       0.007089   0.011521
   86  179     0.999974   0.999970       0.007150   0.012929
   87  179     0.999975   0.999970       0.007072   0.026218
   88  179     0.999975   0.999967       0.007131   0.022183
   89  179     0.999975   0.999967       0.007097   0.027157
   90  179     0.999974   0.999968       0.007206   0.023822
   91  179     0.999974   0.999966       0.007211   0.034840
   92  179     0.999974   0.999964       0.007175   0.065477

PASS - every probed row matches its mapped master row on an independent tensor
